#,partid,Description,qtystock,Identifier,qtyonorder,qtyreserved,supplier,manufacturer,manufactuerpart,notes,cost,costqty,datasheet,Package ID,Footprint,Format,ROHS,Storage,Supplier P/N,Qty at CM,Value on Hand,Value on Order
1,A001,WIEGMANN 12x12x6,0,,0,0,Steven Engineering,Wiegmann,N412121206C,"Enclosure, 12""Hx12""Wx6""D, N4/12, ANSI61 Gray Steel, Hinged Quarter turn Latched Cover, Less Inner Panel",149.97,1,,,,,,,,0,,
2,A002,WIEGMANN 16x16x6,0,,1,0,Steven Engineering,Wiegmann,N412161606C,Enclosure Hinged 6Dx16Wx16H In.,172.39,1,,,,,,,,0,,172.39
3,A003,WIEGMANN 20x20x6,0,,2,1,Steven Engineering,Wiegmann,N412202006C,"Enclosure, 20""Hx20""Wx6""D, N4/12, ANSI61 Gray Steel, Hinged Quarter Turn Latch Cover, Less Inner Panel",204,1,,,,,,,,0,,408
4,A004,WIEGMANN 20x24x8,0,,1,1,Steven Engineering,Wiegmann,N412202408C,"Enclosure, 20""Hx24""Wx8""D, N4/12, ANSI61 Gray Steel, Hinged Quarter Turn Latch Cover, Less Inner Panel",232.915,1,,,,,,,,0,,232.915
5,A010,WIEGMANN 4x4x3,0,,2,1,,Wiegmann,BN4040403," BN4040403 JIC Enclosure 4 Inch Width x 3 Inch Depth x 4 Inch Height, 14 Gauge Steel, ANSI 61 Gray, Wall Moun...",40,1,,,,,,,,0,,80
6,A012,WIEGMANN 6x8x4,0,,0,0,Galco,Wiegmann,BN4080603CH,Enclosure Hinged 3.5D x 6W x 8H inch - GR0468073,56.5,1,,,,,,,,0,,
7,A030,WC20F,1,,0,0,,Polycase,WC-20F,,7.07,1,,,,,,,,0,7.07,
8,A032,WC22F,1,,0,0,Polycase,Polycase,WC22F,,11.19,1,,,,,,,,0,11.19,
9,A033,WC23F Enclosure,13,,0,2,,Polycase,WC23F,,12.59,1,,,,,,,,0,163.67,
10,A034,WC24F Enclosure,1,,0,0,,Polycase,WC24F,6.73 x 4.76 x 2.17 in.,20.67,1,,,,,,,,0,20.67,
11,A035,WC25F Enclosure,1,,0,0,,Polycase,WC25F,8.74 x 5.75 x 2.17 in.,26.97,1,,,,,,,,0,26.97,
12,A901,WIEGMANN 12x12 Back Panel,0,,0,0,Steven Engineering,Wiegmann,NP1212C,Wiegmann NP1212C Back Panel 12-Gauge Carbon Steel White Smooth Hybrid Paint Hole Mount,10.37,1,,,,,,,,0,,
